n_value,model_id,matrix_model,classical_algorithm,output_contract,tolerance,condition_number,work_proxy_ops,memory_proxy_bytes,comparison_role,notes
100,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,666666.6666666666,80000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
100,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,5100.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,9600.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,13800.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,15900.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,30000.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,43800.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,50400.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,94200.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
100,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,137700.0,4800.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,10416666.666666666,500000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
250,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,12750.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,24000.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,34500.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,39750.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,75000.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,109500.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,126000.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,235500.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
250,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,344250.0,12000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,83333333.33333333,2000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
500,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,25500.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,48000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,69000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,79500.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,150000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,219000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,252000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,471000.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
500,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,688500.0,24000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,666666666.6666666,8000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
1000,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,51000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,96000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,138000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,159000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,300000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,438000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,504000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,942000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
1000,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,1377000.0,48000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,5333333333.333333,32000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
2000,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,102000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,192000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,276000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,318000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,600000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,876000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,1008000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,1884000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
2000,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,2754000.0,96000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,83333333333.33333,200000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
5000,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,255000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,480000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,690000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,795000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,1500000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,2190000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,2520000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,4710000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
5000,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,6885000.0,240000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,dense_direct_lu_full_vector,dense_general_or_spd,dense direct solve (LU/Cholesky family),full_solution_vector,,,666666666666.6666,800000000.0,upper-context for dense full-vector solve; not an HHL speedup claim,"HHL returns a quantum state, so dense full-vector solve is only fair if readout/tomography costs are included on the quantum side."
10000,sparse_cg_k10_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,10,510000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k10_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,10,960000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k10_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,10,1380000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k100_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,100,1590000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k100_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,100,3000000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k100_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,100,4380000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k1000_tol1e-02,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.01,1000,5040000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k1000_tol1e-04,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,0.0001,1000,9420000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
10000,sparse_cg_k1000_tol1e-06,sparse_spd_tridiagonal_proxy,CG/MINRES-family sparse iterative solve,full_solution_vector_or_observable_after_classical_solution,1e-06,1000,13770000.0,480000.0,"favorable sparse classical context; depends on kappa, sparsity, and residual tolerance","A direct HHL comparison needs matched kappa, sparsity, data access, and requested output."
