slr_id,title,doi,source_type,exclusion_reason,exclusion_detail,date_excluded
12e854ac62a4,"Quantum Optimization: Potential, Challenges, and the Path Forward",,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1312e9d3c55e,Hybrid Quantum-Classical Machine Learning with PennyLane: A Comprehensive Guide for Computational Research,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
17229c637aaf,Cross-Disciplinary Integration of Quantum Computing in Economics and Finance,10.62802/zar9yr94,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
17382b2fd33a,"Fundamentals of Quantum Computing: Principles, Qubits and Quantum Gates",,other,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
183eee816106,Interacting boson problems are QMA-hard,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1938aae185de,Quantum-enhanced Markov Chain Monte Carlo for Combinatorial Optimization,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
1961129130d1,Exploring the Versatility of QAOA: A Comprehensive Review,10.1109/ICCCNT61001.2024.10725610,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1993ad0237f3,Quantum computing for finance: overview and prospects,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
1a05f3c9e973,Leveraging quantum computing business applications: a B-SLR approach and future research directions,10.1140/epjqt/s40507-026-00475-1,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
1b63c3136291,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1bad58b8e8e7,Empirical Evaluation of QAOA with Zero Noise Extrapolation on NISQ Hardware for Carbon Credit Portfolio Optimization in the Brazilian Cerrado,10.48550/arxiv.2602.09047,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1d715e0cd1aa,"HQFS: Hybrid Quantum Classical Financial Security with VQC Forecasting, QUBO Annealing, and Audit-Ready Post-Quantum Signing",,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
1df699f71a29,Quantum Neural Networks: A Novel Architecture for Hybrid Quantum-Classical Algorithms,https://doi.org/10.21203/rs.3.rs-3951691/v1,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
1ea2787cdf95,Interplay of Markov Chain and Random Walk in Several Areas,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
20b87836c550,Quantum Computing for Real-World Solutions: Optimizing Complex Problems in the Digital Era,,other,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
2291b049d70f,Application of Quantum Computing in Discrete Portfolio Optimization,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
2322e385b8e7,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
23311f65fe2a,Solving Feature Selection Problem by Quantum Optimization Algorithm,https://doi.org/10.1007/978-3-031-46573-4,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
23e03dc57b20,Computational Results for a Quantum Computing Application in Real-Life Finance,10.1109/QCE57702.2023.00054,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
246963801530,A Systematic Literature Review of Classical and Quantum Machine Learning Approaches for Mutual Fund Portfolio Optimization,10.1109/PUNECON58714.2023.10450063,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
24946c5b6c21,Towards Quantum Advantage in Financial Market Risk using Quantum Gradient Algorithms,10.22331/q-2022-07-20-770,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
24ca4814e7f2,Quantum Algorithms for Optimization Problems,https://doi.org/10.1007/978-3-031-95296-8_17,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
258cef4e076f,Navigating Optimization and Security Challenges in the AI-Driven Digital Economy: From Classical Limits to Quantum Solutions,https://doi.org/10.1049/icp.2025.2981,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
25a848404367,"Currency Arbitrage Optimization using Quantum Annealing, QAOA and Constraint Mapping",10.48550/arxiv.2502.15742,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
25da778231cf,"The State of Quantum Computing:​
Applications, Initiatives, Challenges and Ethical Concerns 
up to 2025",,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
2831368bf1cf,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
292400fdfae6,Quantum Algorithms for Differential Equations in Finance and Physics,,other,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
29f1f2555efe,Quantum computing and the financial system: opportunities and risks,,technical-report,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
29f4e9099932,A hybrid quantum-classical approach to warm-starting optimization,10.48550/arxiv.2309.13961,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
2b34eb642f89,Quantum Bridge Analytics II: Network Optimization and Combinatorial Chaining for Asset Exchange,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
2c1bf46ead5a,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
2c74be1a024b,Quantum speedup for combinatorial optimization with flat energy landscapes,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
2e35d78fa802,Solving Subset Sum Problems using Binary Optimization with Applications in Auditing and Financial Data Analysis,10.36227/techrxiv.18994160.v1,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
2e9f88ec6794,Quantum speed-ups for solving semidefinite relaxations of polynomial optimization,10.48550/arxiv.2511.14389,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
30c35313cb34,"Quantum computing in financial portfolio optimization: Case-based insights into efficiency, risk management, and market impact",10.33545/27068919.2025.v7.i3b.1570,peer-reviewed-empirical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
311bac170c43,Application of Quantum Computing in Optimization Problems,10.31713/MCIT.2024.033,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
323683ff9874,Time Series Forecasting Using Quantum Machine Learning Algorithms,https://doi.org/10.1007/978-981-97-6957-5_16,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
3318d42b7459,Quantum Computing Strategy: Foundations and Applicability,10.1201/9781003302674,other,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
33ecea26692d,Quantum Computing For Financial Systems,10.35629/5252-0701482491,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
34f8784d073c,Квантовая модель блуждания финансовых опционов,10.34706/de-2020-02-05,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
34fc27290f18,Scaling the Variational Quantum Eigensolver for Dynamic Portfolio Optimization,10.48550/arxiv.2412.19150,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
35c7b4d830d5,Market informed portfolio optimization methods with hybrid quantum computing,10.1002/rfe.1219,peer-reviewed-empirical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
35da1ebe30e2,Exploring Quantum Machine Learning in Solving Complex Optimization Problems: Algorithms and Insights,10.64539/sjcs.v2i1.2026.396,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
36cd7ccae10c,AI-Powered Risk Modeling in Quantum Finance : Redefining Enterprise Decision Systems,10.32628/ijsrset221656,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
3716460f49f0,Quantum algorithms for numerical differentiation of expected values with respect to parameters,10.1007/s11128-022-03453-5,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
37f43983f4d2,Quantum Computing: Implications for Portfolio Managers,,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
39e897283cac,Exploring the synergistic potential of quantum annealing and gate model computing for portfolio optimization,10.48550/arxiv.2305.01480,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3a3ba897009d,QAOA Applied to the Portfolio Optimization Problem,,other,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3a533a166c84,Quantum Portfolio Optimization: An Extensive Benchmark,10.48550/arxiv.2509.17876,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3a64b1f387c0,"Near-Term Quantum Computing Techniques: Variational Quantum Algorithms, Error Mitigation, Circuit Compilation, Benchmarking and Classical Simulation",,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
3c1b7774da65,Black-Litterman Portfolio Optimization with Noisy Intermediate-Scale Quantum Computers,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3c79c53d5d90,Portfolio Optimization with Digitized-Counterdiabatic Quantum Algorithms,10.48550/arxiv.2112.08347,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3c7ed5e51406,Accelerating Quantum Computing Readiness: Risk Management and Strategies for Sectors,10.4236/jqis.2023.132003,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
3d6d6393f792,A comparison on constrain encoding methods for quantum approximate optimization algorithm,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
3f8ab7317ca4,Extrapolation method to optimize linear-ramp quantum approximate optimization algorithm parameters: Evaluation of runtime scaling,10.1103/l5r4-zcqv,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
3fe2b056b181,Research on the optimization of credit score card for solving the QUBO model based on annealing algorithm and quantum computer,10.1109/CIPAE60493.2023.00120,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
40e4c7fdd4ac,Dynamic Portfolio Optimization with Real Datasets Using Quantum Processors and Quantum-Inspired Tensor Networks,10.1103/PhysRevResearch.4.013006,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
413125f4264b,Derivative Pricing and Credit Risk in a Regime Switching Economy Using Quantum Amplitude Estimation,10.1109/qce60285.2024.00067,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
41a852fada38,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
41c620c565b5,Solving Multiple Discretization Portfolio Optimization Problem with Quantum-Classical Hybrid Algorithms,https://doi.org/10.1007/s10614-025-11061-5,peer-reviewed-empirical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
45e4cb39dba8,Applications of quantum computing to optimization,10.1109/CHILECON54041.2021.9703081,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
468c3327bdef,Quantum Computing in US Banking: The Future of Fraud Prevention and Financial Crime Detection,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
470b798927ef,Extrapolation method to optimize linear-ramp QAOA parameters: Evaluation of QAOA runtime scaling,10.48550/arxiv.2504.08577,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
4798a3b70dd2,Quantum Computing Solutions: Solving Real-World Problems Using Quantum Computing and Algorithms,10.1007/978-1-4842-6516-1,other,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
4adb16a5e179,Distributed quantum computing models: Study of architectures and models for the distribution of quantum computing tasks across multiple quantum nodes,https://doi.org/10.30574/ijsra.2024.13.2.2602,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
4b808e14a12b,Quantum Gates and Quantum Circuits of Stock Portfolio,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
4e492b86e6c7,Computer-Aided Quantum Algorithms for Real-Time Energy Market Trading,10.1109/ACCESS.2025.3553369,peer-reviewed-empirical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
4eb84ca51d29,Quantum Amplitude Estimation in Practice: A Case Study in Option Pricing,10.1007/978-3-032-13852-1_35,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
4ee4d5f63858,The Potential of Quantum Techniques for Stock Price Prediction,10.1109/RASSE60029.2023.10363533,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5308fd4d7e17,A Structured Survey of Quantum Computing for the Financial Industry,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
53a6837ae00d,Quantum-Enhanced Artificial Intelligence: Framework for Hybrid Computing and Natural Language Processing,,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
53cdbb737343,Portfolio Optimization using Accelerated Quantum Simulation,10.1109/TQCEBT59414.2024.10545076,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
57294220386e,Instruction Manual: How to Embed an HSTalks Lecture,,technical-report,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
57a58ac6ea72,Mathematical Foundations of Quantum Linear Regression: A Proof of Concept via Variational Hamiltonian Formulation,,preprint,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
57ed01f77bc6,Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,10.1109/tqcebt54229.2022.10041475,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
58a29f9f57a7,Hybrid Quantum-Classical Models and Optimization Techniques for Financial Fraud Detection,10.1109/icicnis66685.2025.11315779,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
58f4450b9cce,Forecasting Financial Risk using Quantum Neural Networks,10.1109/icdim.2018.8847063,peer-reviewed-empirical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
596d3496c56c,Unleashing the Potential of LLMs for Quantum Computing: A Study in Quantum Architecture Design,10.48550/arxiv.2307.08191,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5a14221c82c6,A Comprehensive Exploration of Quantum Calculus: Extending Classical Calculus to Discrete Frameworks,10.47363/JPMA/2025(3)141,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
5a5bcd7b5e90,Algorithmic approach to adiabatic quantum optimization,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5a9835a859bf,Portfolio Optimization on Classical and Quantum Computers Using PortFawn,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5bb38201b7ae,QML Algorithm for Market Pattern Detection in High-Frequency Trading for Banking,10.1109/CISES66934.2025.11265399,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
5bd5a79bc18a,A Quantum Computing-based System for Portfolio Optimization using Future Asset Values and Automatic Reduction of the Investment Universe,10.48550/arxiv.2309.12627,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5c9fef8c2825,Financial Index Tracking via Quantum Computing with Cardinality Constraints,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5cf59c9d0438,An effective QUBO formulation for knapsack problems,10.1109/QAI63978.2025.00039,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
5d534083c368,Solving non-native combinatorial optimization problems using hybrid quantum-classical algorithms,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
615067f0066c,Hybrid Quantum-Classical Portfolio Optimization Leveraging Counterdiabatic Annealing and Quantum Risk Factors,10.36227/techrxiv.175795525.59311374/v1,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
6190538f1800,Current Challenge and Limitations in Quantum Computation,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
620d7dc5208d,Quantum Computing in Finance: the Intesa Sanpaolo Experience,10.1109/EMR.2024.3373796,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
6278f0d22ba5,Predictive Techniques for Stock Price Movement Using Quantum-Classical Approach: A Comprehensive Review,,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
64111b3b5d61,Quantum Computing: It is Around the Corner — Get Ready!,,industry-whitepaper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
64522483ae83,Guest editorial: Selected extended papers from the Quantum Software Architecture Workshop at IEEE International Conference on Software Architecture 2021 (ICSA 2021),10.1049/qtc2.12031,other,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
645e6ec4f04e,High-dimensional counterdiabatic quantum computing,10.1038/s41534-025-01070-5,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
64a4167a442c,Quantum Machine Learning for Advanced Data Processing in Business Analytics: A Path Toward Next-Generation Solutions,10.62127/aijmr.2024.v02i05.1107,peer-reviewed-empirical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
661640f62940,Quantum Computing for Optimization With Ising Machine,10.1109/MNANO.2024.3378485,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
67ef832f18a2,Quantum Computing Applications in Financial Modeling and Portfolio Optimization,10.1109/CE2CT64011.2025.10939675,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
67f83161d410,A Survey of Quantum Computing for Finance,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
68a06e2534e1,"Quantum Computing: Algorithms, Architectures, and Applications",10.5281/zenodo.18811726,other,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
68d02a109ffd,"High-Dimensional Signal Processing using Classical-Quantum Machine Learning Pipelines with the TensorFlow Stack, Cirq-NISQ, and Vertica",10.1109/QCE53715.2022.00121,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
69b8b36d8aad,"A Quantum Risk Management Framework (QRMF): Quantum Amplitude Estimation for VaR/CVaR, Entanglement-Based Systemic Risk Analytics, and Variational Risk Optimization",10.20944/preprints202510.0505.v1,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
69bf4c1b7cbe,A Quantum-Inspired Binary Optimization Algorithm for Representative Selection,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
6ce12ea7c2bf,A COLLABORATIVE FRAMEWORK FOR QUANTUM OPTIMISATION AND QUANTUM NEURAL NETWORKS: CREDIT FEATURE SELECTION AND IMAGE CLASSIFICATION,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
6eb61c248ea7,Decoherence in adiabatic quantum computation,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
6fe2aeb67e66,Quantum Computing for Finance,,industry-whitepaper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
71dc25d5ac6a,Leveraging Quantum Computing and Optimization to Estimate Financial Crashes in Small and Medium-Sized Enterprises,10.1109/UBMK63289.2024.10773505,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
71e349feba65,Quantum Machine Learning for Multi-Criteria Decision-Making in Industrial Project Portfolio Management,10.62802/km136t27,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
71ed62112b8d,Exploring the Revolutionary Potential of Quantum Technologies in the Fintech Industry,,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
73f3adac41d9,Solving Portfolio Optimization Problems using Adiabatic Quantum Computing,https://doi.org/10.21203/rs.3.rs-6986668/v1,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
75c40280653d,Automating Financial Analysis with QML Algorithm: A Banking Industry Perspective,10.1109/NETCRYPT65877.2025.11102448,conference-paper,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
75cd91455541,Quantum versus Classical Generative Modelling in Finance,10.1088/2058-9565/abd3db,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7600a952f76a,Shallow and Robust QAOA: Improving Feasibility and Hardware Performance via Linear-Chain and Ramp Schedules,https://doi.org/10.21203/rs.3.rs-8297477/v1,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
774364c6da63,hqQUBO: A Hybrid-querying Quantum Optimization Model Validated with 16-qubits on an Ion Trap Quantum Computer for Life Science Applications,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
778a06edc7f8,Quantum Superposition and Measurement Effects in Social Interaction Experiments,10.6914/qss.010104,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
7a159ec77866,Quantum Computing in High Frequency Trading and Fraud Detection,https://doi.org/10.18034/ei.v9i2.549,review-article,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
7a47e22ecc89,Benchmarking of Quantum and Classical Computing in Large-Scale Dynamic Portfolio Optimization Under Market Frictions,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7b4b01100661,"Encoding trade-offs and design toolkits in quantum algorithms for discrete optimization: coloring, routing, scheduling, and other problems",10.22331/q-2023-09-14-1111,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7bdb6593ec48,Advancing Bi-objective Weighted Portfolio Optimization Across International Markets via Quantum Annealing,10.1109/QCE65121.2025.00245,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7c11ab76f3d9,Benchmarking Quantum Solvers in Noisy Digital Simulations for Financial Portfolio Optimization,10.48550/arxiv.2508.21123,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7c5f50a7c9b3,Quantum Computing Algorithms for Nonlinear Optimization Problems,10.52783/cana.v30.279,peer-reviewed-theoretical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7c6e8af63f61,Constrained Portfolio Optimization via Quantum Approximate Optimization Algorithm (QAOA) with XY-Mixers and Trotterized Initialization: A Hybrid Approach for Direct Indexing,10.48550/arxiv.2602.14827,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7d9c1f3a2af2,Achieving High-Quality Portfolio Optimization with the Variational Quantum Eigensolver,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7e3bc9e2594c,mRNA secondary structure prediction using utility-scale quantum computers,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7ea4faff382d,Quantum Enabled-Algorithms and Market Prediction and Execution for Ultra-Low-Latency High-Frequency Trading in Global Markets,10.25397/f3ys-jj93,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7f0f52d2eab9,A brief review of portfolio optimization techniques,10.1007/s10462-022-10273-7,review-article,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7f5135581c08,Financial Risk Management on a Neutral Atom Quantum Processor,10.48550/arxiv.2212.03223,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
7f91dcfbca63,"Quantum-inspired anomaly detection, a QUBO formulation",,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
83317aae0ec0,Hybrid quantum investment optimization with minimal holding period,10.1038/s41598-021-98297-x,peer-reviewed-empirical,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
86fa1780f8fe,Quantum-Enhanced Risk Assessment for Securing Blockchain-Enabled Financial Systems and Interconnected Cyber Networks,https://doi.org/10.34218/1JCS_01_01_006,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
881dd9b94148,Optimized QUBO formulation methods for quantum computing,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
8d08019fb608,Applications of Quantum Machine Learning for Quantitative Finance,,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
8d9fbaf6510b,A time-Series Model Based on Quanntum Walk in terms of Quantum Bernoulli Noise,10.31873/ijeas.5.10.17,peer-reviewed-theoretical,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-28
8dad17700137,"Best practices for portfolio optimization by quantum computing, experimented on real quantum devices",10.1038/s41598-023-45392-w,preprint,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
8e52ff85234f,Hybrid Quantum-Classical Framework for Multi-objective Weighted Portfolio Optimization,10.1109/QCE65121.2025.10383,conference-paper,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-28
